product_id,product_name,meat_type,product_type,who_eat,manufacturer
4310,"Продукт из мяса птицы кусковой ГАЛЕРЕЯ ВКУСА ""Конфи. Утиный окорочок"" жар. (в/у порц.) 460г",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
52089,"Паштет из мяса птицы ГАЛЕРЕЯ ВКУСА ""Нежный"" мясной (охл.) (порц.) 180г",птица,паштеты,люди,галерея вкуса
5521,"Субпродукты птичьи. ГАЛЕРЕЯ ВКУСА  ноги цыплят-бройлеров глубокозамороженные, полиэтиленовый пакет по (фас) 1КГ",бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
5912,Мясо птицы. Тушка цыпленка-бройлера охлажд. 1 сорт (ПРОИЗВОДСТВО) потр.,бройлер,полуфабрикаты и субпродукты,дети,производство
61835,"Сардельки из мяса птицы ГАЛЕРЕЯ ВКУСА ""По-деревенски"" высший сорт (малый пак/ГМС)",птица,сардельки,люди,галерея вкуса
6898,ГАЛЕРЕЯ ВКУСА Субпродукты птичьи: головы цыпленка-бройлера Глубокозамороженные (фас. меш.),бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
8358,Мясо птицы. ГАЛЕРЕЯ ВКУСА Тушка утки охлажд. 1 сорт потр. (пак. из пленки полимер. многосл. барьерной под вак.),утка,полуфабрикаты и субпродукты,люди,галерея вкуса
85782,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Снэки Люкс"" охлажд. к/в (в/у порц.) 230г",птица,копчености,люди,галерея вкуса
85906,"Колбаска салями из мяса кур ГАЛЕРЕЯ ВКУСА ""Ривьера"" сорт Экстра с/в (ГМС) 180г",курица,колбасы,люди,галерея вкуса
85907,"Колбаска салями из мяса кур ГАЛЕРЕЯ ВКУСА ""Пражская"" сорт Экстра с/в (ГМС) 180г",курица,колбасы,люди,галерея вкуса
86040,"Продукт цыплят-бройлеров ГАЛЕРЕЯ ВКУСА ""Копчик Европейский"" к/в (в/у) 230г",бройлер,полуфабрикаты и субпродукты,люди,галерея вкуса
86256,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Снэки Европейские"" охлажд. к/в (в/у порц.) 230г",птица,копчености,люди,галерея вкуса
86384,"Хлеб колбасный из мяса птицы ГАЛЕРЕЯ ВКУСА ""Лионский Бушон"" охлажд. высший сорт (порц.) 570г",бройлер,колбасы,дети,галерея вкуса
88943,"Паштет из мяса птицы ГАЛЕРЕЯ ВКУСА ""Домашний"" (охл.) вар. (порц.) 180г",птица,паштеты,люди,галерея вкуса
94886,"Продукт из мяса птицы ГАЛЕРЕЯ ВКУСА ""Рулет Элитный"" высший сорт к/в (в/у трансп.)",птица,рулеты,люди,галерея вкуса
9499,"Продукты разделки и обвалки мяса птицы ГАЛЕРЕЯ ВКУСА Мясо бескостное кусковое грудной части утят ""Стейк утиный"" (в/у,скин-упак.)",утка,полуфабрикаты и субпродукты,люди,галерея вкуса
99166,"Колбаса салями ГАЛЕРЕЯ ВКУСА ""Сервелат Финский"" (текст/обол.) мясная высший сорт в/к (в/у)",птица,колбасы,люди,галерея вкуса
